timestamp,event,value
2024-05-10T07:41:31.621062+02:00,conn-0-speed,37
2024-05-10T07:41:31.7211903+02:00,conn-0-speed,3
2024-05-10T07:41:31.8218403+02:00,conn-0-speed,58
2024-05-10T07:41:32.0228852+02:00,conn-0-speed,60
2024-05-10T07:41:32.3244837+02:00,conn-0-speed,40
2024-05-10T07:41:32.5255834+02:00,conn-0-speed,64
2024-05-10T07:41:32.7268176+02:00,conn-0-speed,66
2024-05-10T07:41:33.4327157+02:00,conn-0-speed,63
2024-05-10T07:41:33.7347238+02:00,conn-0-speed,68
2024-05-10T07:41:33.9362302+02:00,conn-0-speed,69
2024-05-10T07:41:34.1370936+02:00,conn-0-speed,69
2024-05-10T07:41:34.237897+02:00,conn-0-speed,1
2024-05-10T07:41:34.3381097+02:00,conn-0-speed,71
2024-05-10T07:41:34.4385331+02:00,conn-0-speed,1
2024-05-10T07:41:34.5391772+02:00,conn-0-speed,23
2024-05-10T07:41:34.6402228+02:00,conn-0-speed,11
2024-05-10T07:41:34.8406355+02:00,conn-0-speed,37
2024-05-10T07:41:34.9411156+02:00,conn-0-speed,36
2024-05-10T07:41:35.3428394+02:00,conn-0-speed,75
2024-05-10T07:41:35.5449244+02:00,conn-0-speed,30
2024-05-10T07:41:35.6458343+02:00,conn-0-speed,46
2024-05-10T07:41:35.8461939+02:00,conn-0-speed,78
2024-05-10T07:41:36.0473592+02:00,conn-0-speed,79
2024-05-10T07:41:36.259372+02:00,conn-0-speed,56
2024-05-10T07:41:36.5604359+02:00,conn-0-speed,69
2024-05-10T07:41:36.7512827+02:00,conn-0-speed,82
2024-05-10T07:41:37.2549991+02:00,conn-0-speed,1
2024-05-10T07:41:37.456475+02:00,conn-0-speed,67
2024-05-10T07:41:37.5573606+02:00,conn-0-speed,15
2024-05-10T07:41:37.6584609+02:00,conn-0-speed,66
2024-05-10T07:41:37.7594495+02:00,conn-0-speed,18
2024-05-10T07:41:37.8597095+02:00,conn-0-speed,18
2024-05-10T07:41:37.9705372+02:00,conn-0-speed,67
2024-05-10T07:41:38.1611645+02:00,conn-0-speed,87
2024-05-10T07:41:38.3623776+02:00,conn-0-speed,87
2024-05-10T07:41:39.2685661+02:00,conn-0-speed,216
2024-05-10T07:41:39.4804019+02:00,conn-0-speed,64
2024-05-10T07:41:39.6713409+02:00,conn-0-speed,66
2024-05-10T07:41:39.8726836+02:00,conn-0-speed,39
2024-05-10T07:41:39.9733181+02:00,conn-0-speed,28
2024-05-10T07:41:40.2855433+02:00,conn-0-speed,40
2024-05-10T07:41:40.4866804+02:00,conn-0-speed,15
2024-05-10T07:41:40.7790001+02:00,conn-0-speed,111
2024-05-10T07:41:40.9801869+02:00,conn-0-speed,37
2024-05-10T07:41:41.0809421+02:00,conn-0-speed,34
2024-05-10T07:41:41.2931005+02:00,conn-0-speed,73
2024-05-10T07:41:41.4935191+02:00,conn-0-speed,74
2024-05-10T07:41:41.7848724+02:00,conn-0-speed,59
2024-05-10T07:41:41.9961587+02:00,conn-0-speed,72
